run,m,n,nT,c,a,b1,bn,σt,g0,g1,g1_std,τpot,tau3,stdp_type,connectivity_algorithm,αrecip,αconv,αdiv,αchain,timestep,pattern,act_corrs,temp_corrs,hit_rates,false_alarm_rates,d_primes
1,5,3000,10,0.25,0.01,0.5,1.0,0.2,0.0,0.1,0.0,1.0,1.0,symmetric,random,1.0,1.0,1.0,1.0,0,1,0.7320064695265734,0.9411764705882353,0.53125,0.0,Inf
1,5,3000,10,0.25,0.01,0.5,1.0,0.2,0.0,0.1,0.0,1.0,1.0,symmetric,random,1.0,1.0,1.0,1.0,1,2,0.9437669477527554,0.22404714575879703,0.875,0.0,Inf
1,5,3000,10,0.25,0.01,0.5,1.0,0.2,0.0,0.1,0.0,1.0,1.0,symmetric,random,1.0,1.0,1.0,1.0,2,3,0.9407492838230662,0.15227398422049088,0.875,0.0,Inf
1,5,3000,10,0.25,0.01,0.5,1.0,0.2,0.0,0.1,0.0,1.0,1.0,symmetric,random,1.0,1.0,1.0,1.0,3,4,0.9641685592932697,0.16936417606100848,0.9375,0.0,Inf
1,5,3000,10,0.25,0.01,0.5,1.0,0.2,0.0,0.1,0.0,1.0,1.0,symmetric,random,1.0,1.0,1.0,1.0,4,5,0.9641685592932697,-0.13572823590716512,0.9375,0.0,Inf
1,5,3000,10,0.25,0.01,0.5,1.0,0.2,0.0,0.1,0.0,1.0,1.0,symmetric,random,1.0,1.0,1.0,1.0,5,1,0.9641685592932697,-0.13083703000976665,0.9375,0.0,Inf
1,5,3000,10,0.25,0.01,0.5,1.0,0.2,0.0,0.1,0.0,1.0,1.0,symmetric,random,1.0,1.0,1.0,1.0,6,2,0.9641685592932697,0.08596502993927153,0.9375,0.0,Inf
1,5,3000,10,0.25,0.01,0.5,1.0,0.2,0.0,0.1,0.0,1.0,1.0,symmetric,random,1.0,1.0,1.0,1.0,7,3,0.9641685592932697,-0.04075816702988077,0.9375,0.0,Inf
1,5,3000,10,0.25,0.01,0.5,1.0,0.2,0.0,0.1,0.0,1.0,1.0,symmetric,random,1.0,1.0,1.0,1.0,8,4,0.9641685592932697,8.127672076599448e-18,0.9375,0.0,Inf
1,5,3000,10,0.25,0.01,0.5,1.0,0.2,0.0,0.1,0.0,1.0,1.0,symmetric,random,1.0,1.0,1.0,1.0,9,5,0.9641685592932697,8.127672076599448e-18,0.9375,0.0,Inf
1,5,3000,10,0.25,0.01,0.5,1.0,0.2,0.0,0.1,0.0,1.0,1.0,symmetric,random,1.0,1.0,1.0,1.0,10,1,0.9641685592932697,8.127672076599448e-18,0.9375,0.0,Inf
1,5,3000,10,0.25,0.01,0.5,1.0,0.2,0.0,0.1,0.0,1.0,1.0,symmetric,random,1.0,1.0,1.0,1.0,0,2,0.7423612172914721,0.9333333333333333,0.5357142857142857,0.0,Inf
1,5,3000,10,0.25,0.01,0.5,1.0,0.2,0.0,0.1,0.0,1.0,1.0,symmetric,random,1.0,1.0,1.0,1.0,1,3,0.964153875245063,0.26033550378874265,0.9285714285714286,0.0,Inf
1,5,3000,10,0.25,0.01,0.5,1.0,0.2,0.0,0.1,0.0,1.0,1.0,symmetric,random,1.0,1.0,1.0,1.0,2,4,0.964485004692632,0.1364531182918235,0.9285714285714286,0.0,Inf
